hylak_id,ACR_CR,ACR_EN,ACR_VU,ACR_NT,CNEI_CR,CNEI_EN,CNEI_VU,CNEI_NT,sp_count_CR,sp_count_EN,sp_count_VU,sp_count_NT,exposure_scenario
5774.0,0.0,1200.5484198,2000.914033,2401.0968396,0.0,400.1828066,400.1828066,400.1828066,0.0,3.0,5.0,6.0,S0_baseline
5780.0,0.0,320.3322158,640.6644316,960.9966474,0.0,160.1661079,160.1661079,160.1661079,0.0,2.0,4.0,6.0,S0_baseline
5785.0,346.4396443,1039.3189329,1732.1982215,2078.6378658,346.4396443,346.4396443,346.4396443,346.4396443,1.0,3.0,5.0,6.0,S0_baseline
5807.0,0.0,0.0,2417.0403411,7251.1210233,0.0,0.0,805.6801136999999,805.6801137,0.0,0.0,3.0,9.0,S0_baseline
5825.0,170.8051438,0.0,512.4154314,1708.051438,170.8051438,0.0,170.8051438,170.8051438,1.0,0.0,3.0,10.0,S0_baseline
5826.0,0.0,0.0,1479.4951188,4068.6115767,0.0,0.0,493.1650396,406.86115767,0.0,0.0,3.0,10.0,S0_baseline
5865.0,0.0,420.8342282,841.6684564,2314.5882551,0.0,210.4171141,280.55615213333334,231.45882551,0.0,2.0,3.0,10.0,S0_baseline
5874.0,0.0,0.0,485.8696524,1457.6089572,0.0,0.0,161.9565508,161.9565508,0.0,0.0,3.0,9.0,S0_baseline
5903.0,0.0,0.0,1028.7526827000002,3429.175609,0.0,0.0,342.91756090000007,342.9175609,0.0,0.0,3.0,10.0,S0_baseline
5926.0,0.0,73.66170574,368.3085287,662.95535166,0.0,73.66170574,73.66170574,73.66170574,0.0,1.0,5.0,9.0,S0_baseline
5935.0,0.0,261.9717246,785.9151738,1833.8020722,0.0,261.9717246,261.9717246,261.9717246,0.0,1.0,3.0,7.0,S0_baseline
5972.0,0.0,648.3572217,1080.5953694999998,2377.3098129,0.0,216.1190739,216.1190739,216.1190739,0.0,3.0,5.0,11.0,S0_baseline
6005.0,0.0,0.0,1817.38415,3271.29147,0.0,0.0,363.47683,363.47683,0.0,0.0,5.0,9.0,S0_baseline
6017.0,0.0,178.2041592,891.020796,1782.041592,0.0,178.2041592,178.2041592,178.2041592,0.0,1.0,5.0,10.0,S0_baseline
6036.0,0.0,176.09309498,440.23273745,704.37237992,0.0,88.04654749,88.04654749,88.04654749,0.0,2.0,5.0,8.0,S0_baseline
6057.0,0.0,0.0,818.9322716,1637.8645432,0.0,0.0,204.7330679,204.7330679,0.0,0.0,4.0,8.0,S0_baseline
6077.0,0.0,166.6977452,666.7909808,1333.5819616,0.0,166.6977452,166.6977452,166.6977452,0.0,1.0,4.0,8.0,S0_baseline
6105.0,0.0,352.6712501,1410.6850004,2116.0275006,0.0,352.6712501,352.6712501,352.6712501,0.0,1.0,4.0,6.0,S0_baseline
6106.0,0.0,205.3828584,821.5314336,1232.2971504,0.0,205.3828584,205.3828584,205.3828584,0.0,1.0,4.0,6.0,S0_baseline
6108.0,0.0,108.5781336,434.3125344,651.4688016,0.0,108.5781336,108.5781336,108.5781336,0.0,1.0,4.0,6.0,S0_baseline
6112.0,0.0,438.2971074,1753.1884296,2629.7826444,0.0,438.2971074,438.2971074,438.2971074,0.0,1.0,4.0,6.0,S0_baseline
